NARRATIVE,injury_level
employee cleaning primary crusher dingo skid steer employee slipped fell operating skid steer machine pinned cement retaining wall,Major
handle sledgehammer broke head hammer hit employee forehead,Minor
employee climbing ladder stepped ground slipped sprained left ankle,Major
pulled back muscle stacking bag material,Major
ee hand began break rash handled material coated stearic acid placed restricted duty first dr visit ee notify management second hand began break,Major
ee reaching air supply cutoff valve,Major
using sledge hammer employee felt something pull right side dr released full duty time accident beginning december 2008 began seeking med treatment personal taken work personal physician deemed work related comp dr,Major
foot slipped getting bobcat twisted back,Major
ee standing barge another ee handed herdust collector hose dropped said back hurt dr said low back pain allother test negative sent pt put light duty seen,Major
employee removing guard drive shaft work transmission felt pain groin request medical attention diagnosed inguinal hernia physician placed employee restricted duty refererred surgeon specialist surgery end february,Major
ee walking careful slip wet ground rain struck brim hardhat low pipe incident resulted strained neck require medical attention time ee neck discomfort increased bumped head ladder ee myelogram procedure resulted lost workday ee long history pain,Major
ee repairing hydraulic line komatsu loader ee removed body theloader cut ear wheel wall loader,Minor
injured tightening bolt leaf seal wrench slipped right finger got cut leaf seal hand struck,Minor
ee removing coupling guard felt pain lower back ee went doctor came back restriction sent therapy doctor put restrictive duty,Major
ee putting weigh idler back scale changing load cell idler slipped cut finger,Minor
employee originally stepped awkwardly dip ground hurting right knee employee continued work state knee continued work knee evidently worsened knee surgery employee since returned work seated duty,Major
employee carrying oxygen bottle felt something pull left groin,Major
ee working 2 scrubber cleaning standing loose material itwas cleaned bobcat bottom tank outside material gave way ee struck left elbow tank said fine need med attention tookhim hosp anyway checked fineon surgery elbow,Major
two employee hoisted manbasket crane approx 10 ft operator noticed cable unwinding drum employee lowered ground operator cable became fully unwound thus dropping block cable basket employee able get basket however one struck foot cable,Minor
employee slipped limestone reclaimer accident became reportable december,Major
employee pushing material dozer rock struck dozer jerked backwards,Major
injured party talking bobcat operator operator moved machine person clear rt fork machine hit rt leg operator error,Major
roof fall occurred room 2 track entry inby spad fall intersection approx 45 long 18 wide high,Minor
roof fall occurred intersection 2 entry 2 spad fall measured approx 100 x 20 x 6 fall extend beyond horizon anchor bolt,Minor
ee stated cutting piece belt left hand slipped knife cut left index finger laceration required 8 suture,Minor
cedar creek elevator service pm pm due door malfunction,Minor
cedar creek elevator service due auxilary brake contactor fault,Minor
cedar creek elevator due motor brake release fault,Minor
employee walking face rock struck mouth breaking two teeth,Minor
pulling black slick line right knee started hurting,Major
employee pushing dolly loaded dolly struck rock turned sideways causing employee twist knee,Major
slag car pulled motor caught loopof high voltage cable causing fall employee,Major
employee process installing new 1 rock dust hose roofbolter stated foot got tangled hose turned twisted ankle,Major
injured working clean coal tunnelat 4 prep plant bent pick a4 piece steel channel weight felt pain center lower back,Major
reportable lost time lifting gravel mix struck finger beam fracture,Major
reportable lost time jacking derailed bus back track jack bar slipped hit head suture required lost time,Minor
employee taking hose loose shield employee distracted mule coming face striking left hand hammer,Minor
employee helping install plow stage loader plow held 2 pair comealongs 2 bolt lowered 2 nut bolt popped allowing plow twist hit employee foot employee standing behind plow,Major
employee helping repair continuous miner conveyer chain holding hammer chain another employee striking drive coulping link employee driving coupling link struck injured employee left hand fracturing 5th digit,Minor
piece rock fell supported top broke employee left foot,Major
struck force concussion methane explosion,Major
struck force concussion methanie explosion,Major
ee rasing rock bay door machine shop process felt pain lower back reason difference accident reporting time time fro injury worked,Major
roof know broken fall dangered 3 ft rock fallen prior incident preparation made rehabilitate area known broken incident occurred,Minor
employee injured building crib mashed finger crib block another already place,Minor
broken brake caliper hoist injury,Minor
employee driving loader ran belt structure belt structure came cab injuring left knee cut bruise swollen,Major
installing beam shifted pinched finger,Major
ee stepped rock hurt left foot didnot start losing time due increased pain doctor put cast foot,Major
joy jm 4892 miner cutting coal 3 place 4 section ignition ignition occurred cutting head struck bottom flame exinguished one suffered injury property damage,Minor
eimco cont miner cutting bottom 3 place ignition occurred lasted approx second flared went injury property damage incurred,Minor
alleged employee stated apparently hurt back evening shift handling miner cable employee stated got next day hurting back started losing time due increased pain,Major
knocking bratice tailgate entry cement block fell employee left foot,Major
employee carrying pipe struck leg pipe hurt back employee started losing time due surgery knee,Major
riding passenger manbus driver lost control bus coming hill threw ee bus ee grabbed side bus strained groin hernia,Major
unstopping pump discharge pipe pressure forced clean hose pipe striking ee left eye mouth reportable due stitch,Minor
employee walked employee hammering roof bolt pin instruct wear safety glass piece metal flew stuck employee chest,Major
